"Date","School","Mention_Volume","Seed","Time","TournamentRound","IsWinner","SeedDifference","UpsetWin","UpsetLoss","FavoriteWin","FavoriteLoss","UnderdogWin","UnderdogLoss","SizeSetting","Control","F20Enrollment","Major","EndDate","IsMarchMadness","IsGameDay"
2023-03-13,"Gonzaga University",769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",7295,0,2023-03-26,1,0
2023-03-13,"Montana State University",248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",16218,0,2023-03-18,1,0
2023-03-13,"Colgate University",186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",3054,0,2023-03-17,1,0
2023-03-14,"University of Nevada Reno",545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",20722,0,2023-03-16,1,0
2023-03-14,"University of Virginia",1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",25628,1,2023-03-17,1,0
2023-03-14,"Arizona State University",1507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",74795,1,2023-03-18,1,0
2023-03-14,"Duke University",2484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",16172,1,2023-03-19,1,0
2023-03-14,"Utah State University",373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",27691,0,2023-03-17,1,0
2023-03-14,"University of Kansas",2324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26744,1,2023-03-19,1,0
2023-03-14,"North Carolina State University",586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",36042,1,2023-03-18,1,0
2023-03-14,"University of Miami",1004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Private not-for-profit",17809,1,2023-04-02,1,0
2023-03-14,"Providence College",457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",4821,1,2023-03-18,1,0
2023-03-14,"Xavier University",441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Private not-for-profit",7061,0,2023-03-25,1,0
2023-03-14,"Indiana University Bloomington",1420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",43064,1,2023-03-20,1,0
2023-03-14,"University of Maryland",1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",40709,1,2023-03-19,1,0
2023-03-14,"University of Illinois Urbana-Champaign",781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",52679,1,2023-03-17,1,0
2023-03-14,"Michigan State University",2095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",49695,1,2023-03-24,1,0
